Year,Colorado,Utah,Wyoming,Intermountain West
1984,4754,21176,,25930
1985,2264,35334,15910,53508
1986,48888,151580,4078,204546
1987,17507,57563,11497,86567
1988,51734,59721,1657988,1769443
1989,28220,50638,3298,82156
1990,4949,19825,,24774
1991,,11778,28936,40714
1992,,22943,5391,28334
1993,28805,15209,3161,47175
1994,46889,228277,53309,328475
1995,8847,179972,1721,190540
1996,88629,506640,266139,861408
1997,13489,17437,18423,49349
1998,24336,107814,7675,139825
1999,19342,177154,87367,283863
2000,107069,242272,350234,699575
2001,35625,123085,57638,216348
2002,442657,277840,121544,842041
2003,37277,101672,86314,225263
2004,27745,83682,13240,124667
2005,19659,748022,24205,791886
2006,36321,316257,236521,589099
2007,13510,820372,103409,937291
2008,185012,63110,95876,343998
2009,76130,140926,30366,247422
2010,73397,87338,89087,249822
2011,190498,79137,115241,384876
2012,255220,431699,436339,1123258
2013,211466,84311,42591,338368
2014,44756,44056,3130,91942
2015,48780,29234,18227,96241
2016,160102,123035,309015,592152
2017,134812,268346,119131,522289
2018,475803,438938,231033,1145774
2019,450392,92380,35105,577877
2020,625357,329735,339782,1294874
2021,48195,60863,31915,140973
2022,257342,27245,22917,307504
2023,41917,18109,3979,64005
2024,60539,90417,620069,771025
2025,244155,192798,215290,652243