year,number,acres,macres,av temp
1983,18229,1323666,1.324,49.5
1984,20493,1148409,1.148,48.7
1985,82591,2896147,2.896,48.4
1986,85907,2719162,2.719,50.8
1987,71300,2447296,2.447,50.3
1988,72750,5009290,5.009,50.5
1989,48949,1827310,1.827,50.1
1990,66481,4621621,4.622,50.1
1991,75754,2953578,2.954,49.8
1992,87394,2069929,2.070,50.9
1993,58810,1797574,1.798,48.8
1994,79107,4073579,4.074,50.8
1995,82234,1840546,1.841,50.8
1996,96363,6065998,6.066,50.8
1997,66196,2856959,2.857,50.3
1998,81043,1329704,1.330,50.1
1999,92487,5626093,5.626,50.5
2000,92250,7393493,7.393,51
2001,84079,3570911,3.571,51.1
2002,73457,7184712,7.185,50.5
2003,63629,3960842,3.961,51.8
2004,65461,8097880,8.098,50.7
2005,66753,8689389,8.689,50.8
2006,96385,9873745,9.874,50.9
2007,85705,9328045,9.328,51.2
2008,78979,5292468,5.292,50
2009,78792,5921786,5.922,50.3
2010,71971,3422724,3.423,50.1
2011,74126,8711367,8.711,49.5
2012,67774,9326238,9.326,51.9
2013,47579,4319546,4.320,50.4
2014,63312,3595613,3.596,52.2
2015,68151,10125149,10.125,52.6
2016,67743,5509995,5.510,52
2017,71499,10026086,10.026,52
2018,58083,8767492,8.767,51.8
2019,50477,4664364,4.664,50
2020,58950,10122336,10.122,52
2021,58985,7125643,7.126,52.2
2022,68988,7577183,7.577,51.1
2023,56580,2693910,2.694,50.5
2024,64897,8924884,8.925,52.3